1,1,0.01639344262295082,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
1,2,0.01639344262295082,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
2,1,0.03278688524590164,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
2,2,0.03278688524590164,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
3,1,0.04918032786885246,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
3,2,0.04918032786885246,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
4,1,0.06557377049180328,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
4,2,0.06557377049180328,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
5,1,0.08196721311475409,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
5,2,0.08196721311475409,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
6,1,0.09836065573770492,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
6,2,0.09836065573770492,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
7,1,0.11475409836065574,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
7,2,0.11475409836065574,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
8,1,0.13114754098360656,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
8,2,0.13114754098360656,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
9,1,0.14754098360655737,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
9,2,0.14754098360655737,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
10,1,0.16393442622950818,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
10,2,0.16393442622950818,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
11,1,0.18032786885245902,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
11,2,0.18032786885245902,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
12,1,0.19672131147540983,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
12,2,0.19672131147540983,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
13,1,0.21311475409836064,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
13,2,0.21311475409836064,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
14,1,0.22950819672131148,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
14,2,0.22950819672131148,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
15,1,0.2459016393442623,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
15,2,0.2459016393442623,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
16,1,0.26229508196721313,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
16,2,0.26229508196721313,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
17,1,0.2786885245901639,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
17,2,0.2786885245901639,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
18,1,0.29508196721311475,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
18,2,0.29508196721311475,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
19,1,0.3114754098360656,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
19,2,0.3114754098360656,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
20,1,0.32786885245901637,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
20,2,0.32786885245901637,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
21,1,0.3442622950819672,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
21,2,0.3442622950819672,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
22,1,0.36065573770491804,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
22,2,0.36065573770491804,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
23,1,0.3770491803278688,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
23,2,0.3770491803278688,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
24,1,0.39344262295081966,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
24,2,0.39344262295081966,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
25,1,0.4098360655737705,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
25,2,0.4098360655737705,ExampleAgent@15,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
26,1,0.4262295081967213,BoulwareNegotiationParty@14,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
