1,1,0.01639344262295082,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
1,2,0.01639344262295082,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
2,1,0.03278688524590164,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
2,2,0.03278688524590164,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
3,1,0.04918032786885246,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
3,2,0.04918032786885246,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
4,1,0.06557377049180328,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
4,2,0.06557377049180328,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Just people from the EU, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
5,1,0.08196721311475409,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
5,2,0.08196721311475409,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
6,1,0.09836065573770492,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
6,2,0.09836065573770492,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
7,1,0.11475409836065574,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
7,2,0.11475409836065574,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
8,1,0.13114754098360656,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
8,2,0.13114754098360656,Agent1@33,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
9,1,0.14754098360655737,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
9,2,0.14754098360655737,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
10,1,0.16393442622950818,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
10,2,0.16393442622950818,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
11,1,0.18032786885245902,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
